Date,Note,Location,GPS,Source
"January 04, 2013 at 01:49AM",,Kiang Doi House,"19.30031800,97.96750100",historical-xlsx
"January 04, 2013 at 08:35AM",,Kiang Doi House,"19.30031800,97.96750100",historical-xlsx
"January 04, 2013 at 10:12AM",,ร้านกาแฟจุดชมวิวเขื่อนผาบ่อง,"19.17154491,97.98966300",historical-xlsx
"January 04, 2013 at 11:07AM",,PTT อ.ขุนยวม,"18.81240231,97.93379529",historical-xlsx
"January 04, 2013 at 12:11PM",,ทุ่งดอกบัวตอง ดอยแม่อูคอ,"18.89489769,98.08977155",historical-xlsx
"January 04, 2013 at 07:53PM",,PARK HEADQUARTERS | ที่ทำการอุทยานแห่งชาติดอยอินทนนท์,"18.53569307,98.52224967",historical-xlsx
"January 04, 2013 at 09:20PM",,ECO HUT INTHANON,"18.53717900,98.52124200",historical-xlsx
"January 05, 2013 at 09:15AM",,กาแฟห้วยผึ้ง,"18.76849900,98.86890400",historical-xlsx
"January 05, 2013 at 10:08AM",,Bake & Bite,"18.79784593,98.96552600",historical-xlsx
"January 05, 2013 at 11:17AM",,Mr.MECHANIC Motorbike & Car Service.,"18.79017142,98.99332113",historical-xlsx
"January 05, 2013 at 12:28PM",,Viva Chiang Mai,"18.77667962,98.94536111",historical-xlsx
"January 05, 2013 at 03:11PM",,สวนป่าทุ่งเกวียน,"18.33696356,99.25061374",historical-xlsx
"January 05, 2013 at 03:18PM",,กาดทุ่งเกวียน (Kad Tung Kwian),"18.32727362,99.28125858",historical-xlsx
"January 05, 2013 at 03:24PM",,กาดทุ่งเกวียน (Kad Tung Kwian),"18.32727362,99.28125858",historical-xlsx
"January 05, 2013 at 05:14PM",,PTT อ.เถิน,"17.61813267,99.23430920",historical-xlsx
"January 05, 2013 at 07:31PM",,Grand View Resort,"16.47277500,99.52131500",historical-xlsx
"January 05, 2013 at 07:40PM",,ร้าน บ้านริมน้ำ,"16.47352300,99.52110700",historical-xlsx
"January 06, 2013 at 10:01AM",,โกตี๋ ข้าวมันไก่,"15.71157490,100.13501110",historical-xlsx
"January 06, 2013 at 10:18AM","No civic pride! This could be a nice park, instead it it's falling apart, dirty and a a reflection of the attitude of the people here.",สวนสาธารณะ หน้าเทศบาล น.ว.,"15.71225576,100.13472308",historical-xlsx
